parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B600.KALLVATTEN_INTAKE,B661.KV1_VM23,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B661.KV1_VM24,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B664.KV1_VM21_V,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B674.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B684.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B821.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B821.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B833.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B833.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B833.KV1_VM23,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B841.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B841.KV1_VM22,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B841.KV1_VM23,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B841.KV1_VM24,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B850.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B869.KV1_VM21,hasSubMeter,,,,B600_water_intake
B600.KALLVATTEN_INTAKE,B921.KV1_VM21_V,hasSubMeter,,,,B600_water_intake
B611.T2,B622.T2-3-1-B1,hasSubMeter,,,,el_naming_hierarchy
B611.T4,B611.T4-A3,hasSubMeter,,,,el_naming_hierarchy
B611.T4,B611.T4-C1,hasSubMeter,,,,el_naming_hierarchy
B611.T4,B611.T4-C4,hasSubMeter,,,,el_naming_hierarchy
B612.T7,B615.T7-A2-257,hasSubMeter,,,,el_naming_hierarchy
B612.T8,B612.T8-B5,hasSubMeter,,,,el_naming_hierarchy
B612.T8,B612.T8-B6,hasSubMeter,,,,el_naming_hierarchy
B612.T8,B641.T8-A3,hasSubMeter,,,,el_naming_hierarchy
B616.T31,B616.T31-6-2,hasSubMeter,,,,el_naming_hierarchy
B616.T33,B616.T33-6-1,hasSubMeter,,,,el_naming_hierarchy
B616.T33,B616.T33-6-2,hasSubMeter,,,,el_naming_hierarchy
B621.T5,B621.T5-2-5,hasSubMeter,,,,el_naming_hierarchy
B621.T6,B621.T6-2-5,hasSubMeter,,,,el_naming_hierarchy
B621.T6,B621.T6-3-1,hasSubMeter,,,,el_naming_hierarchy
B641.T8-A3,B652.T8-A3-A14-112,hasSubMeter,,,,el_naming_hierarchy
B643.T37,B643.T37-2-1,hasSubMeter,,,,el_naming_hierarchy
B650.T23,B650.T23-D5,hasSubMeter,,,,el_naming_hierarchy
B653.T17,B653.T17-A7,hasSubMeter,,,,el_naming_hierarchy
B659.T28,B659.T28-3-5,hasSubMeter,,,,el_naming_hierarchy
B665.T42,B665.T42-2-1,hasSubMeter,,,,el_naming_hierarchy
B821.T39-1,B821.T39-5-1,hasSubMeter,,,,excel_formula_B821
B821.T39-1,B821.T39-5-2,hasSubMeter,,,,excel_formula_B821
B821.T39-1,B821.T39-5-3,hasSubMeter,,,,excel_formula_B821
B821.T39-1,B821.T39-6-2,hasSubMeter,,,,excel_formula_B821
B833.T44,B833.T44-6-1,hasSubMeter,,,,el_naming_hierarchy
