from_meter,to_meter,coefficient,derived_from
BB310.VARME_BUILDING,B302.VP2_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B303.VP2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B304.VP2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B304.VP2_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B305.VP2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B311.VP1_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B311.VP1_VMM64,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B311.VP1_VMM65,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B311.VS2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B312.VP2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B312.VP2_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B313.VP1_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B313.VS1_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B317.VP1_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B317.VP1_VMM62,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B317.VP1_VMM63,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B341.VS1_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B385.VP2_VMM61,1.0,building_virtual_BB310
BB310.VARME_BUILDING,B385.VP2_VMM62,1.0,building_virtual_BB310
BB311.VARME_BUILDING,B310.VS2_VMM61,1.0,building_virtual_BB311
BB311.VARME_BUILDING,B310.VS2_VMM62,1.0,building_virtual_BB311
BB311.VARME_BUILDING,B381.VP1_VMM61,1.0,building_virtual_BB311
BB313.VARME_BUILDING,B314.VP1_VMM61,1.0,building_virtual_BB313
BB314.VARME_BUILDING,B315.VP1_VMM61,1.0,building_virtual_BB314
BB318.VARME_BUILDING,B319.VP1_VMM61,1.0,building_virtual_BB318
