timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B621.T5:d.A,B621.T5.energy,daily,counter,raw,False,,2025-03-26,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.B621-T5-S,,,
B621.T5:d.B,B621.T5.energy,daily,counter,raw,False,2025-03-26,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.B621-T5-S,,,
B621.T5:d,B621.T5.energy,daily,counter,derived,True,,,,,,,B621.T5:d.A|B621.T5:d.B,rolling_sum
B621.T5-2-5:d,B621.T5-2-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.T5-2-5,,,
B621.T6:d.A,B621.T6.energy,daily,counter,raw,False,,2025-02-09,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.B621-T6-S,,,
B621.T6:d.B,B621.T6.energy,daily,counter,raw,False,2025-02-09,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.B621-T6-S,,,
B621.T6:d,B621.T6.energy,daily,counter,derived,True,,,,,,,B621.T6:d.A|B621.T6:d.B,rolling_sum
B621.T6-2-5:d,B621.T6-2-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.T6-2-5,,,
B621.T6-3-1:d,B621.T6-3-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.T6-3-1,,,
B622.T2-3-1-B1:d,B622.T2-3-1-B1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B622.T2-3-1-B1,,,
B625.T16:d,B625.T16.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B625.T16-S,,,
B625.T50:d,B625.T50.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B625.T50-S,,,
B634.T51:d,B634.T51.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B634.T51,,,
B634.T52:d,B634.T52.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B634.T52,,,
B641.T8-A3:d,B641.T8-A3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B641.T8-A3,,,
B643.T37:d,B643.T37.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B643.T37,,,
B643.T37-2-1:d,B643.T37-2-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B643.T37-2-1,,,
B643.T40:d,B643.T40.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B643.T40,,,
B650.T23:d.A,B650.T23.energy,daily,counter,raw,False,,2025-12-30,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B650.T23,,,
B650.T23:d.B,B650.T23.energy,daily,counter,raw,False,2025-12-30,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B650.T23,,,
B650.T23:d,B650.T23.energy,daily,counter,derived,True,,,,,,,B650.T23:d.A|B650.T23:d.B,rolling_sum
B650.T23-D5:d,B650.T23-D5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B650.T23-D5,,,
B650.T24:d,B650.T24.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B650.T24,,,
B652.T14-B3-J:d,B652.T14-B3-J.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B652.T14-B3-J,,,
B652.T8-A3-A14-112:d,B652.T8-A3-A14-112.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B652.T8-A3-A14-112,,,
B653.T17:d.A,B653.T17.energy,daily,counter,raw,False,,2025-06-18,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.T17,,,
B653.T17:d.B,B653.T17.energy,daily,counter,raw,False,2025-06-18,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.T17,,,
B653.T17:d,B653.T17.energy,daily,counter,derived,True,,,,,,,B653.T17:d.A|B653.T17:d.B,rolling_sum
B653.T17-A7:d,B653.T17-A7.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.T17-A7,,,
B653.T54:d,B653.T54.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.T54,,,
B653.T55:d.A,B653.T55.energy,daily,counter,raw,False,,2025-06-29,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.T55,,,
B653.T55:d.B,B653.T55.energy,daily,counter,raw,False,2025-06-29,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B653.T55,,,
B653.T55:d,B653.T55.energy,daily,counter,derived,True,,,,,,,B653.T55:d.A|B653.T55:d.B,rolling_sum
B654.T25:d,B654.T25.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B654.T25,,,
B654.T26:d,B654.T26.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B654.T26,,,
B654.T27:d,B654.T27.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B654.T27,,,
B654.T53:d,B654.T53.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B654.T53,,,
B659.T15:d,B659.T15.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B659.T15,,,
B659.T28:d,B659.T28.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B659.T28,,,
B659.T28-3-5:d,B659.T28-3-5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B659.T28-3-5,,,
B660.H23-1:d.A,B660.H23-1.energy,daily,counter,raw,False,,2025-02-02,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.B,B660.H23-1.energy,daily,counter,raw,False,2025-02-02,2025-04-06,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.C,B660.H23-1.energy,daily,counter,raw,False,2025-04-06,2025-06-14,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.D,B660.H23-1.energy,daily,counter,raw,False,2025-06-14,2025-08-14,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.E,B660.H23-1.energy,daily,counter,raw,False,2025-08-14,2025-10-10,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.F,B660.H23-1.energy,daily,counter,raw,False,2025-10-10,2025-12-12,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.G,B660.H23-1.energy,daily,counter,raw,False,2025-12-12,2026-02-14,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d.H,B660.H23-1.energy,daily,counter,raw,False,2026-02-14,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H23_1,,,
B660.H23-1:d,B660.H23-1.energy,daily,counter,derived,True,,,,,,,B660.H23-1:d.A|B660.H23-1:d.B|B660.H23-1:d.C|B660.H23-1:d.D|B660.H23-1:d.E|B660.H23-1:d.F|B660.H23-1:d.G|B660.H23-1:d.H,rolling_sum
B660.H3-1:d.A,B660.H3-1.energy,daily,counter,raw,False,,2025-04-06,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H3_1,,,
B660.H3-1:d.B,B660.H3-1.energy,daily,counter,raw,False,2025-04-06,2025-08-07,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H3_1,,,
B660.H3-1:d.C,B660.H3-1.energy,daily,counter,raw,False,2025-08-07,2025-12-20,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H3_1,,,
B660.H3-1:d.D,B660.H3-1.energy,daily,counter,raw,False,2025-12-20,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H3_1,,,
B660.H3-1:d,B660.H3-1.energy,daily,counter,derived,True,,,,,,,B660.H3-1:d.A|B660.H3-1:d.B|B660.H3-1:d.C|B660.H3-1:d.D,rolling_sum
B661.T34:d,B661.T34.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.T34,,,
B661.T35:d,B661.T35.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.T35,,,
B661.T36:d,B661.T36.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.T36,,,
B661.T47:d.A,B661.T47.energy,daily,counter,raw,False,,2025-05-22,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.T47,,,
B661.T47:d.B,B661.T47.energy,daily,counter,raw,False,2025-05-22,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.T47,,,
B661.T47:d,B661.T47.energy,daily,counter,derived,True,,,,,,,B661.T47:d.A|B661.T47:d.B,rolling_sum
B665.T42:d,B665.T42.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B665.T42,,,
B665.T42-2-1:d,B665.T42-2-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B665.T42-2-1,,,
B674.T46:d,B674.T46.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B674.T46,,,
B821.T39-1:d,B821.T39-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.T39-1,,,
B821.T39-5-1:d,B821.T39-5-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.T39-5-1,,,
B821.T39-5-2:d,B821.T39-5-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.T39-5-2,,,
B821.T39-5-3:d,B821.T39-5-3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.T39-5-3,,,
B821.T39-6-2:d,B821.T39-6-2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.T39-6-2,,,
B833.T43:d,B833.T43.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.T43-S,,,
B833.T44:d,B833.T44.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.T44-S,,,
B833.T44-6-1:d,B833.T44-6-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.T44-6-1,,,
B841.T38:d,B841.T38.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B841.T38,,,
B951.H3-B:d,B951.H3-B.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,951.H3-B,,,
B951.H4-A:d,B951.H4-A.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B951.H4-A,,,
B665.H2-1:d,B665.H2-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B660.H2_1,,,
B621.T68:d,B621.T68.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B621.T68,,,
B648.T60:d,B648.T60.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B648.T60,,,
B648.T61:d,B648.T61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B648.T61,,,
B669.T62:d,B669.T62.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B669.B669-T62,,,
B669.T63:d,B669.T63.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B669.B669-T63,,,
B951.T56:d,B951.T56.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B951.T56,,,
B951.T57:d,B951.T57.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B951.T57,,,
B951.T58:d,B951.T58.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B951.T58,,,
B951.T59:d,B951.T59.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B951.T59,,,
