from_meter,to_meter,coefficient,derived_from
B643.VP1_VMM61,B643.VARME_BUILDING,1.0,building_virtual_B643
B643.VP1_VMM61,B643.VÅ9_VMM41,1.0,naming_role_hierarchy
B643.VP2_VMM61,B643.VARME_BUILDING,1.0,building_virtual_B643
B643.VÅ9_VMM42,B643.VP1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B650.VARME_BUILDING,B655.VP1_VMM61,1.0,building_virtual_B650
B650.VP1_VMM61,B650.VARME_BUILDING,1.0,building_virtual_B650
B650.VP1_VMM61,B655.VP1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B650.VP3_VMM61,B650.VARME_BUILDING,1.0,building_virtual_B650
B652.VS1_VMM61,B652.VARME_BUILDING,1.0,building_virtual_B652
B654.VP2_VMM61,B654.VARME_BUILDING,1.0,building_virtual_B654
B655.VP1_VMM61,B655.VARME_BUILDING,1.0,building_virtual_B655
B658.VP1_VMM61,B658.VARME_BUILDING,1.0,building_virtual_B658
B661.VP1_VMM61,B661.VARME_BUILDING,1.0,building_virtual_B661
B674.VP1_VMM61,B674.VARME_BUILDING,1.0,building_virtual_B674
B674.VP2_VMM61,B674.VARME_BUILDING,1.0,building_virtual_B674
B674.VÅ9_VMM41,B674.VP1_VMM61,1.0,flow_schema_V600-56.8-001/arrow
B674.VÅ9_VMM42,B674.VP2_VMM61,1.0,flow_schema_V600-56.8-001/arrow
B821.VP1_VMM61,B821.VARME_BUILDING,1.0,building_virtual_B821
B833.VARME_BUILDING,B834.VP1_VMM61,1.0,building_virtual_B833
B833.VP1_VMM61,B833.VARME_BUILDING,1.0,building_virtual_B833
B833.VP1_VMM61,B833.VP1_VMM62,1.0,flow_schema_V600-56.8-001/auto_root_degree
B833.VP1_VMM61,B833.VÅ9_VMM41,1.0,flow_schema_V600-56.8-001/auto_root_degree
B833.VP1_VMM61,B834.VP1_VMM61,1.0,flow_schema_V600-56.8-001/auto_root_degree
B833.VP1_VMM62,B833.VARME_BUILDING,1.0,building_virtual_B833
B834.VP1_VMM61,B834.VARME_BUILDING,1.0,building_virtual_B834
B841.VP1_VMM61,B841.VARME_BUILDING,1.0,building_virtual_B841
B921.VP1_VMM61,B921.VARME_BUILDING,1.0,building_virtual_B921
