building_id,formula_row,column_ref,sign,role,meter_id,excel_meter_id,faktor,n_terms,derived_from
B327,38,S,+,add,B327.VS1_VMM61,B327.VS1_VMM61,,5,excel_Värme
B327,38,T,−,sub,B326.VS1_VMM61,B326.VS1_VMM61,,5,excel_Värme
B330,40,S,+,add,B330.VS1_VMM61,B330.VS1_VMM61_E,,5,excel_Värme
B334,41,S,+,add,B334.VS1_VMM61,B334.VS1_VMM61_E,,5,excel_Värme
B337,42,S,+,add,B337.VS12_VMM61,B337.VS12_VMM61_E,,5,excel_Värme
B337,42,T,+,add,B337.VP12_VMM61,B337.VP12_VMM61_E,,5,excel_Värme
B339,43,S,+,add,B339.VS1_VMM61,B339.VS1_VMM61_E,,5,excel_Värme
B341,45,S,+,add,B341.VS1_VMM61,B341.VS1_VMM61_E,,5,excel_Värme
B381,62,S,+,add,B381.VP1_VMM61,B381.VP1_VMM61_E,,5,excel_Värme
B385,64,S,+,add,B385.VP2_VMM61,B385.VP2_VMM61_E,,5,excel_Värme
