building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,coefficient,n_terms
339,47,S,+,add,B339.KV1_VM23_V,B339.KV1_VMM23_V,1.0,8
339,47,T,−,sub,B318.KV1_VM21_V,B318.KV1_VMM21_V,1.0,8
341,49,S,+,add,B341.KV1_VM21_V,B341.KV1_VMM21_V,1.0,8
342,50,S,+,add,B342.KV1_VM21_V,B342.KV1_VMM21_V,1.0,8
344,52,S,+,add,B344.KV1_VM21_V,B344.KV1_VMM21_V,1.0,8
353,59,S,+,add,B353.KV1_VM21_V,B353.KV1_VMM21_V,1.0,8
381,66,S,+,add,B381.KV1_VM21_V,B381.KV1_VMM21_V,1.0,8
385,68,S,+,add,B385.KV1_VM21_V,B385.KV1_VMM21_V,1.0,8
389,70,S,+,add,B389.BRV1_VM21,B389.BRV1_VMM21,1.0,8
392,72,S,+,add,B392.KV1_VM21,B392.KV1_VMM21,1.0,8
392,72,T,+,add,B392.KV1_VM22,B392.KV1_VMM22,1.0,8
420,76,S,+,add,B420.KV1_VM21_V,B420.KV1_VMM21_V,1.0,8
