ID,Name,Base,Unit,Phase,Type,Direction,Misc,Description
123,Active Power Thermal Demand Received Maximum Rate B,,,,,,,
124,Active Power Thermal Demand Received Maximum Rate C,,,,,,,
125,Active Power Thermal Demand Received Maximum Rate D,,,,,,,
126,Active Power High,,,,,,,
127,Active Power Low,,,,,,,
128,Active Power Mean,,,,,,,
129,Active Energy Delivered,,,,,,,
130,Active Energy Delivered Rate A,,,,,,,
131,Active Energy Delivered Rate B,,,,,,,
132,Active Energy Delivered Rate C,,,,,,,
133,Active Energy Delivered Rate D,,,,,,,
134,Active Energy Delivered Interval,,,,,,,
135,Active Energy Delivered-Received,,,,,,,
139,Active Energy Received,,,,,,,
140,Active Energy Received Rate A,,,,,,,
141,Active Energy Received Rate B,,,,,,,
142,Active Energy Received Rate C,,,,,,,
143,Active Energy Received Rate D,,,,,,,
144,Active Energy Received Interval,,,,,,,
145,Power Factor Lagging High,,,,,,,
146,Power Factor Lagging Low,,,,,,,
147,Power Factor Lagging Mean,,,,,,,
148,Power Factor Leading High,,,,,,,
149,Power Factor Leading Low,,,,,,,
150,Power Factor Leading Mean,,,,,,,
151,Power Factor Mean,,,,,,,
152,Voltage Unbalance High,,,,,,,
153,Voltage Unbalance Low,,,,,,,
154,Voltage Unbalance Mean,,,,,,,
155,V1 Waveform,,,,,,,
156,Voltage Total Harmonic Distortion High on Input V1,,,,,,,
157,Voltage Total Harmonic Distortion Mean on Input V1,,,,,,,
158,V2 Waveform,,,,,,,
159,Voltage Total Harmonic Distortion High on Input V2,,,,,,,
160,Voltage Total Harmonic Distortion Mean on Input V2,,,,,,,
161,V3 Waveform,,,,,,,
162,Voltage Total Harmonic Distortion High on Input V3,,,,,,,
163,Voltage Total Harmonic Distortion Mean on Input V3,,,,,,,
164,V4 Waveform,,,,,,,
165,Voltage Phases AB High,,,,,,,
166,Voltage Phases AB Low,,,,,,,
167,Voltage Phases AB Mean,,,,,,,
168,Average Voltage Line-to-Line High,,,,,,,
169,Average Voltage Line-to-Line Low,,,,,,,
170,Average Voltage Line-to-Line Mean,,,,,,,
171,Voltage Phases BC High,,,,,,,
172,Voltage Phases BC Low,,,,,,,
173,Voltage Phases BC Mean,,,,,,,
174,Voltage Phases CA High,,,,,,,
175,Voltage Phases CA Low,,,,,,,
176,Voltage Phases CA Mean,,,,,,,
177,Average Voltage Line-to-Neutral Mean,,,,,,,
178,Frequency N Count,,,,,,,
179,Frequency N invalid Count,,,,,,,
180,Frequency N1 Count,,,,,,,
181,Frequency N2 Count,,,,,,,
182,Current Phase Average,,,,,,,
183,Current Phase A squared hours,,,,,,,
184,Current Phase Average for Trend Display,,,,,,,
185,Current Phase B squared hours,,,,,,,
186,Current Phase C squared hours,,,,,,,
187,Reactive Power,,,,,,,
188,Reactive Energy Delivered Loss-Compensated Interval,,,,,,,
189,Reactive Energy Received Loss-Compensated Interval,,,,,,,
190,Reactive Energy Loss Interval,,,,,,,
191,Reactive Energy Delivered + Received,,,,,,,
192,Active Power Thermal Demand,,,,,,,
193,Active Power,,,,,,,
194,Active Power for Trend Display,,,,,,,
195,Active Energy Delivered Loss-Compensated Interval,,,,,,,
196,Active Energy Received Loss-Compensated Interval,,,,,,,
197,Active Energy Loss Interval,,,,,,,
198,Active Energy Delivered+Received,,,,,,,
199,Metering Point Definition 1,,,,,,,
200,Metering Point Definition 2,,,,,,,
201,Current Phase A squared hours Meter Units Interval,,,,,,,
202,Current Phase B squared hours Meter Units Interval,,,,,,,
203,Current Phase C squared hours Meter Units Interval,,,,,,,
204,Voltage Phases AB squared hours Meter Units Interval,,,,,,,
205,Voltage Phases BC squared hours Meter Units Interval,,,,,,,
206,Voltage Phases CA squared hours Meter Units Interval,,,,,,,
207,Voltage Phases AN squared hours Meter Units Interval,,,,,,,
208,Voltage Phases BN squared hours Meter Units Interval,,,,,,,
209,Voltage Phases CN squared hours Meter Units Interval,,,,,,,
210,Power Factor Signed,,,,,,,
211,Current Transformer Primary Rating,,,,,,,
212,Current Transformer Secondary Rating,,,,,,,
213,Potential Transformer Primary Rating,,,,,,,
214,Potential Transformer Secondary Rating,,,,,,,
215,Frequency High - Power Quality Monitoring,,,,,,,
216,Frequency Low - Power Quality Monitoring,,,,,,,
217,Frequency Mean - Power Quality Monitoring,,,,,,,
218,Voltage on Input V1 High - Power Quality Monitoring,,,,,,,
219,Voltage on Input V1 Low - Power Quality Monitoring,,,,,,,
220,Voltage on Input V1 Mean - Power Quality Monitoring,,,,,,,
221,Voltage on Input V1 Total Even Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
222,Voltage on Input V1 Total Even Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
223,Voltage on Input V1 Total Even Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
224,Voltage on Input V1 Total Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
225,Voltage on Input V1 Total Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
226,Voltage on Input V1 Total Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
227,Voltage on Input V1 Total Odd Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
228,Voltage on Input V1 Total Odd Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
229,Voltage on Input V1 Total Odd Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
230,Voltage on Input V2 High - Power Quality Monitoring,,,,,,,
231,Voltage on Input V2 Low - Power Quality Monitoring,,,,,,,
232,Voltage on Input V2 Mean - Power Quality Monitoring,,,,,,,
233,Voltage on Input V2 Total Even Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
234,Voltage on Input V2 Total Even Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
235,Voltage on Input V2 Total Even Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
236,Voltage on Input V2 Total Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
237,Voltage on Input V2 Total Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
238,Voltage on Input V2 Total Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
239,Voltage on Input V2 Total Odd Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
240,Voltage on Input V2 Total Odd Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
241,Voltage on Input V2 Total Odd Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
242,Voltage on Input V3 High - Power Quality Monitoring,,,,,,,
243,Voltage on Input V3 Low - Power Quality Monitoring,,,,,,,
244,Voltage on Input V3 Mean - Power Quality Monitoring,,,,,,,
245,Voltage on Input V3 Total Even Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
246,Voltage on Input V3 Total Even Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
247,Voltage on Input V3 Total Even Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
248,Voltage on Input V3 Total Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
249,Voltage on Input V3 Total Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
250,Voltage on Input V3 Total Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
251,Voltage on Input V3 Total Odd Harmonic Distortion Mean - Power Quality Monitoring,,,,,,,
252,Voltage on Input V3 Total Odd Harmonic Distortion Minimum - Power Quality Monitoring,,,,,,,
253,Voltage on Input V3 Total Odd Harmonic Distortion Maximum - Power Quality Monitoring,,,,,,,
254,Status Change Counter Input S1,,,,,,,
255,Status Change Counter Input S2,,,,,,,
256,Status Change Counter Input S3,,,,,,,
257,Status Change Counter Input S4,,,,,,,
258,Status Change Counter Input S5,,,,,,,
259,Status Change Counter Input S6,,,,,,,
260,Status Change Counter Input S7,,,,,,,
261,Voltage Disturbance Duration,,,,,,,
262,Voltage Disturbance Detection Nominal Voltage,,,,,,,
263,Voltage Disturbance Average Voltage on Input V1,,,,,,,
264,Voltage Disturbance Energy Delta on Input V1,,,,,,,
265,Voltage Disturbance Maximum Voltage on Input V1,,,,,,,
266,Voltage Disturbance Minimum Voltage on Input V1,,,,,,,
267,Voltage Disturbance Average Voltage on Input V2,,,,,,,
268,Voltage Disturbance Energy Delta on Input V2,,,,,,,
269,Voltage Disturbance Maximum Voltage on Input V2,,,,,,,
270,Voltage Disturbance Minimum Voltage on Input V2,,,,,,,
271,Voltage Disturbance Average Voltage on Input V3,,,,,,,
272,Voltage Disturbance Energy Delta on Input V3,,,,,,,
273,Voltage Disturbance Maximum Voltage on Input V3,,,,,,,
274,Voltage Disturbance Minimum Voltage on Input V3,,,,,,,
275,Voltage Disturbance Sag Limit,,,,,,,
276,Voltage Disturbance Swell Limit,,,,,,,
277,Voltage Transient Threshold,,,,,,,
278,Voltage Transient Nominal Voltage,,,,,,,
279,Voltage Transient Duration on Input V1,,,,,,,
280,Voltage Transient Maximum Voltage on Input V1,,,,,,,
281,Voltage Transient Duration on Input V2,,,,,,,
282,Voltage Transient Maximum Voltage on Input V2,,,,,,,
283,Voltage Transient Duration on Input V3,,,,,,,
284,Voltage Transient Maximum Voltage on Input V3,,,,,,,
285,Voltage Dip Extreme as Percentage of Nominal on Input V1,,,,,,,
286,Voltage Dip Duration on Input V1,,,,,,,
287,Voltage Dip Count N11 on Input V1,,,,,,,
288,Voltage Dip Count N12 on Input V1,,,,,,,
289,Voltage Dip Count N13 on Input V1,,,,,,,
290,Voltage Dip Count N14 on Input V1,,,,,,,
291,Voltage Dip Count N21 on Input V1,,,,,,,
292,Voltage Dip Count N22 on Input V1,,,,,,,
293,Voltage Dip Count N23 on Input V1,,,,,,,
294,Voltage Dip Count N24 on Input V1,,,,,,,
295,Voltage Dip Count N31 on Input V1,,,,,,,
296,Voltage Dip Count N32 on Input V1,,,,,,,
